track_id,name,artist,spotify_preview_url,spotify_id,tags,genre,year,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
TRTGMIX128EF35E2B9,Signal Fire,Snow Patrol,https://p.scdn.co/mp3-preview/6cccd80826f01e0e766f375365a99ee2dd087f31?cid=774b29d4f13844c495f206cafdad9c86,1TpLoRmTh9pXfOH3esndVb,"rock, alternative, indie, indie_rock, soundtrack, love, beautiful, 00s, britpop, mellow",Rock,2007,266226,0.458,0.767,2,-5.184,1,0.044,0.0522,1.33e-06,0.109,0.167,134.704,4
TRJCYFL128F9312EB2,Fallen Leaves,Billy Talent,https://p.scdn.co/mp3-preview/e19966010eb18fd603f3e028faf916d17bf5db7b?cid=774b29d4f13844c495f206cafdad9c86,0FVvn5gsmYLkHPgJfuuuEd,"rock, alternative, alternative_rock, punk, punk_rock",Rock,2007,208040,0.454,0.991,3,-5.622,1,0.312,0.00552,0.0086,0.943,0.28,123.155,4
TRRMYTU128F4259AED,Hang On,Seether,https://p.scdn.co/mp3-preview/eacd1c88cb5c71af636f9b9696c4b48fd845c233?cid=774b29d4f13844c495f206cafdad9c86,0GuD0qpn2Lr0pM8PLK1BKk,"rock, alternative_rock, heavy_metal",Rock,2004,190533,0.447,0.839,3,-5.859,1,0.0448,0.00132,0.000289,0.154,0.385,171.83,4
TRUEJZL12903CE94AF,I Can't Get Started,Jamie Cullum,https://p.scdn.co/mp3-preview/796f46adff7f840f0685b5afc2b4f51478fcda22?cid=774b29d4f13844c495f206cafdad9c86,1u0DTkF2DfYxZil6Z3oYYP,"jazz, piano",,2011,311144,0.544,0.0899,2,-16.349,0,0.0469,0.944,2.5e-06,0.0856,0.182,118.944,4
TRWBMOP12903D06990,Always and Never,Silverstein,https://p.scdn.co/mp3-preview/77d38b1bc4f332c567a067a20d86053562b14fad?cid=774b29d4f13844c495f206cafdad9c86,03VgHaIvlbtZGAIkANyKhT,"punk, hardcore, punk_rock, emo, post_hardcore, screamo",,2005,229653,0.384,0.989,2,-2.043,1,0.0983,0.00413,0.0,0.123,0.244,102.248,4
TRIQJYX128F92FFD53,The Little Bell,Broadcast,https://p.scdn.co/mp3-preview/aa849dc30e312870f80af3085b1920493309ebfb?cid=774b29d4f13844c495f206cafdad9c86,2AdvSoMIklD2K4kroB1mwQ,"electronic, indie, experimental, psychedelic, post_rock, chill",,2003,168133,0.575,0.501,10,-12.52,1,0.044,0.441,0.0264,0.113,0.185,120.337,4
TRXPWDW128F930899E,Good Times Roll,The Cars,https://p.scdn.co/mp3-preview/9c7fd93a74a6c47a6c8def7719f580d63b2f31e0?cid=774b29d4f13844c495f206cafdad9c86,042CVomhNU0aFrDBfWJmqo,"rock, pop, classic_rock, 80s, new_wave, american, 70s, pop_rock",,2003,223933,0.59,0.78,4,-5.373,1,0.0328,0.224,0.000503,0.113,0.511,108.768,4
TRTLOLU128F42876CF,8105,Moving Mountains,https://p.scdn.co/mp3-preview/2209c1d5a6b283f893a3f98e6677f002532cbbf7?cid=774b29d4f13844c495f206cafdad9c86,0nsKCoFbr84S9CKR6s0SBE,post_rock,Rock,2007,511071,0.333,0.819,8,-7.47,0,0.0571,0.000425,0.313,0.0851,0.0775,174.862,3
TRURWFT128F9301FE7,Wholy Holy,Marvin Gaye,https://p.scdn.co/mp3-preview/9528c9d307993ef5732c16ba20ad930cdb2604ee?cid=774b29d4f13844c495f206cafdad9c86,1d9XimiMXrllkSb4BIq5W0,"soul, 70s, rnb",,1971,187866,0.181,0.256,0,-14.47,1,0.0349,0.254,1.33e-05,0.119,0.0787,79.535,5
TRVFZMS12903CAEF23,The Grandest Accusation,Dark Tranquillity,https://p.scdn.co/mp3-preview/356ae9fedb93301fec29cc32d1f0fea5d613d111?cid=774b29d4f13844c495f206cafdad9c86,1CLFajbzgZqJasTdVNE4bC,"death_metal, melodic_death_metal",,2010,295186,0.386,0.929,11,-5.351,0,0.0447,1.21e-05,0.0502,0.0696,0.37,164.055,4
TRLXOQO128F4289799,Mortal Man,Kendrick Lamar,https://p.scdn.co/mp3-preview/69d5ff2f707f11bb23d6442ff3e8ee586d58bbbe?cid=774b29d4f13844c495f206cafdad9c86,1WT11QmhZutciEv1NsHt1R,"rap, blues, hip_hop",Rock,2015,727106,0.567,0.525,10,-9.043,0,0.75,0.665,0.0,0.708,0.416,86.935,4
TROHTSH128F14A167C,Halcyon,Ellie Goulding,https://p.scdn.co/mp3-preview/41ad03fd92fe92a54f6e2252002be6fb42ceb579?cid=774b29d4f13844c495f206cafdad9c86,002nbgns4Fn2XkYNpA4wdz,"electronic, pop, female_vocalists, dance, chillout, indie_pop, love, beautiful, synthpop, chill",,2012,204699,0.565,0.661,8,-6.346,0,0.0742,0.759,0.0,0.224,0.426,120.008,4
TRZQTFW128F9343A7E,Sexy Little Thing,Chickenfoot,https://p.scdn.co/mp3-preview/a093fc021090f663d37f1e33a0c683f025218562?cid=774b29d4f13844c495f206cafdad9c86,121qy708pLRSXDowbDbVGX,"rock, hard_rock, funk, guitar",Rock,2017,264477,0.285,0.967,6,-7.048,1,0.153,0.0105,3.84e-06,0.81,0.083,127.531,4
TRIPXXX128F92CEA3F,That's What's Up,Edward Sharpe & The Magnetic Zeros,https://p.scdn.co/mp3-preview/e20a66f1a8a9e1d6361c6b7d6774229f1aaa33df?cid=774b29d4f13844c495f206cafdad9c86,3lEKgj2gdQFBzc7drrvQ2W,"alternative, folk",,2012,232132,0.334,0.569,4,-8.602,1,0.135,0.149,0.00626,0.107,0.75,201.674,4
TRZKXZE128F147C901,Catagory,The Number Twelve Looks Like You,https://p.scdn.co/mp3-preview/7bdd6a64e0b854df6c520e43fad25586d00f343a?cid=774b29d4f13844c495f206cafdad9c86,5eIoUYR7M5zhHGkr6fYn92,"hardcore, noise, screamo, grindcore",,2005,308734,0.364,0.841,9,-8.164,0,0.122,0.0631,0.000486,0.639,0.189,120.329,4
TROLPUB128F42BB925,I Can Help,Billy Swan,https://p.scdn.co/mp3-preview/2cd9f6b6681eceb851b1984984ec8d0265a502c2?cid=774b29d4f13844c495f206cafdad9c86,056wzSkwmJbXvwwspSwRLy,"pop, 70s, country, oldies",,2013,175880,0.548,0.794,0,-7.884,1,0.0479,0.513,0.00424,0.431,0.801,124.128,4
TRXZWSG128F933CBDF,Chanbara,At the Drive-In,https://p.scdn.co/mp3-preview/31240f1bca114af396e89d85dda452ea61020ad1?cid=774b29d4f13844c495f206cafdad9c86,1AcXtPgwbCrWTJRbhJPmlh,"experimental, emo, post_hardcore",,1998,179293,0.459,0.959,5,-6.71,1,0.0702,0.00067,0.00103,0.09,0.742,157.517,4
TRUMTES128F92E7485,Blood Sugar,Pendulum,https://p.scdn.co/mp3-preview/fa96e867096ff7a5834ac24227de3376162096d7?cid=774b29d4f13844c495f206cafdad9c86,09QMcfYCMuSZRCVDrXkvya,"electronic, drum_and_bass",Electronic,2014,313253,0.358,0.968,8,-6.316,1,0.123,0.000131,0.848,0.208,0.131,175.847,4
TRIZYCU128F9301621,Afrodisiac,Brandy,https://p.scdn.co/mp3-preview/3ecaf8291959620b6e00c4dfd0ed45d8648660bb?cid=774b29d4f13844c495f206cafdad9c86,0Ne4hO1xYIaLeEcKALJXqg,"female_vocalists, soul, hip_hop, rnb",,2010,228320,0.515,0.605,11,-5.629,0,0.193,0.321,0.0,0.0991,0.719,98.98,4
TRJDRUB128F9316642,Burn the Sun,Ark,https://p.scdn.co/mp3-preview/2a1e67acc48e0ec27634f1958e57504ed25d0292?cid=774b29d4f13844c495f206cafdad9c86,25qGqMO4KWvkcMKLnSHmf6,"progressive_metal, power_metal",,2001,274733,0.582,0.955,6,-6.341,1,0.0688,0.00011,0.000178,0.414,0.447,117.987,4
