track_id,user_id,playcount,name,artist,tags,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,song
TRUTULC128F4293712,user_323022,2,Gimme Stitches,Foo Fighters,"rock, alternative_rock, hard_rock, grunge",Rock,0.538,0.958,2,-4.423,1,0.068,0.00212,0.00215,0.241,0.541,111.842,4,Gimme Stitches - Foo Fighters
TRUVVBT128E07824BB,user_436008,1,In the Warm Room,Kate Bush,"rock, alternative, female_vocalists, 70s",Rock,0.484,0.0338,2,-18.252,0,0.0397,0.986,7.25e-05,0.0712,0.211,79.239,1,In the Warm Room - Kate Bush
TRPCEKB128F92C73A2,user_312202,1,Shempi,Ratatat,"electronic, indie, instrumental, american, 00s, synthpop",Electronic,0.61,0.824,10,-5.229,1,0.0431,0.00515,0.919,0.232,0.509,123.46,4,Shempi - Ratatat
TRRZVKM128F14A94E3,user_250824,2,Cemetry Gates,The Smiths,"rock, alternative, indie, pop, alternative_rock, indie_rock, 80s, british, new_wave, post_punk, indie_pop, britpop",Rock,0.537,0.655,7,-12.356,1,0.0323,0.0978,0.0,0.128,0.667,105.232,4,Cemetry Gates - The Smiths
TRHSMXC12903CCD313,user_534048,6,Sinister Kid,The Black Keys,"rock, indie, blues, american, psychedelic_rock, blues_rock",Rock,0.764,0.829,9,-7.117,1,0.0719,0.154,0.12,0.379,0.933,139.608,4,Sinister Kid - The Black Keys
TRPNIRE128F932F8DD,user_608058,1,Take A Minute,K'naan,"soul, rap, hip_hop, funk, chill",Rap,0.67,0.803,1,-6.147,1,0.0771,0.0814,0.0,0.303,0.736,156.072,4,Take A Minute - K'naan
TRAXWDS12903CEE35E,user_697275,1,Cosmonaut,At the Drive-In,"punk, hardcore, emo, post_hardcore",Rock,0.337,0.986,4,-2.325,0,0.127,0.013,0.00251,0.0905,0.288,102.994,4,Cosmonaut - At the Drive-In
TRQHXVE12903CCDE9F,user_96602,4,Blue Beard,Band of Horses,"indie, indie_rock, blues, indie_pop, country, male_vocalists, love, chill",Rock,0.466,0.44,7,-8.247,1,0.025,0.427,5.58e-06,0.255,0.292,138.102,4,Blue Beard - Band of Horses
TRGBVAG12903CBD579,user_449093,2,Twin Peaks,Surfer Blood,"indie, indie_rock, american, indie_pop",Rock,0.608,0.683,2,-6.1,1,0.0292,0.632,0.0,0.305,0.673,124.97,4,Twin Peaks - Surfer Blood
TRVPPSC128F92EC9C2,user_99791,1,Midnight Bottle,Colbie Caillat,"pop, female_vocalists, singer_songwriter, chillout, acoustic, love",Pop,0.682,0.791,8,-4.562,1,0.0259,0.126,0.0,0.0941,0.551,110.013,4,Midnight Bottle - Colbie Caillat
TRPRCWH128F149BA6E,user_686414,1,Half Alive,Secondhand Serenade,"acoustic, emo, guitar",Rock,0.526,0.369,2,-10.561,1,0.0311,0.759,0.0,0.224,0.555,87.889,4,Half Alive - Secondhand Serenade
TRDBQXT128F4289423,user_950844,1,Wattershed,Foo Fighters,"rock, alternative_rock, hard_rock, 90s, grunge",Rock,0.178,0.967,3,-6.9,1,0.077,0.001,0.000297,0.365,0.47,190.586,4,Wattershed - Foo Fighters
TRUMION12903CB6373,user_30022,1,Cousins,Vampire Weekend,"rock, alternative, indie, pop, indie_rock, american, indie_pop",Rock,0.499,0.809,11,-5.132,1,0.206,0.00123,0.0,0.0707,0.808,176.11,4,Cousins - Vampire Weekend
